,count
Fiction,11292
Religion,3004
Juvenile Fiction,2930
History,2737
Biography,2634
Autobiography,2630
Business,1910
Economics,1907
Computers,1768
Cooking,1051
Social Science,967
Body,945
Spirit,944
Mind,944
Juvenile Nonfiction,940
Health,894
Fitness,891
Recreation,888
Sports,888
Family,872
Relationships,872
Self-Help,708
Science,684
Music,668
Education,641
Psychology,626
Crafts,584
Hobbies,584
Philosophy,543
Political Science,530
Travel,528
Art,526
Language Arts,508
Disciplines,508
Medical,479
Performing Arts,444
Comics,421
Nature,421
Graphic Novels,421
Foreign Language Study,420
Humor,355
Literary Criticism,350
Technology,341
Engineering,339
Reference,335
Poetry,327
Games,326
Mathematics,318
Young Adult Fiction,310
Pets,282
Drama,251
Photography,246
Transportation,245
True Crime,214
Architecture,213
Law,188
Antiques,185
Collectibles,183
Literary Collections,177
Activities,171
Gardening,164
Bibles,159
Study Aids,159
House,147
Home,147
