Hobby-name,Type
Air sports,Outdoors and sports
Airsoft,Outdoors and sports
Amateur geology,Outdoors and sports
Amusement park visiting,Outdoors and sports
Archery,Outdoors and sports
Auto detailing,Outdoors and sports
Automobilism,Outdoors and sports
Astronomy,Outdoors and sports
Backpacking,Outdoors and sports
Badminton,Outdoors and sports
BASE jumping,Outdoors and sports
Baseball,Outdoors and sports
Basketball,Outdoors and sports
Beachcombing,Outdoors and sports
Beekeeping,Outdoors and sports
Birdwatching,Outdoors and sports
Blacksmithing,Outdoors and sports
BMX,Outdoors and sports
Board sports,Outdoors and sports
Bodybuilding,Outdoors and sports
Bus riding,Outdoors and sports
Camping,Outdoors and sports
Canoeing,Outdoors and sports
Canyoning,Outdoors and sports
Carrier pigeons,Outdoors and sports
Car riding,Outdoors and sports
Car tuning,Outdoors and sports
Caving,Outdoors and sports
City trip,Outdoors and sports
Climbing,Outdoors and sports
Composting,Outdoors and sports
Croquet,Outdoors and sports
Cycling,Outdoors and sports
Dairy Farming,Outdoors and sports
Dandyism,Outdoors and sports
Darts,Outdoors and sports
Dodgeball,Outdoors and sports
Dog training,Outdoors and sports
Dog walking,Outdoors and sports
Dowsing,Outdoors and sports
Driving,Outdoors and sports
Farming,Outdoors and sports
Fishing,Outdoors and sports
Flag football,Outdoors and sports
Flower growing,Outdoors and sports
Flying,Outdoors and sports
Flying disc,Outdoors and sports
Flying model planes,Outdoors and sports
Foraging,Outdoors and sports
Fossicking,Outdoors and sports
Freestyle football,Outdoors and sports
Fruit picking,Outdoors and sports
Gardening,Outdoors and sports
Geocaching,Outdoors and sports
Ghost hunting,Outdoors and sports
Gold prospecting,Outdoors and sports
Graffiti,Outdoors and sports
Groundhopping,Outdoors and sports
Guerrilla gardening,Outdoors and sports
Gymnastics,Outdoors and sports
Handball,Outdoors and sports
Herbalism,Outdoors and sports
Herping,Outdoors and sports
High-power rocketry,Outdoors and sports
Hiking,Outdoors and sports
Hobby horsing,Outdoors and sports
Hobby tunneling,Outdoors and sports
Hooping,Outdoors and sports
Horseback riding,Outdoors and sports
Hunting,Outdoors and sports
Inline skating,Outdoors and sports
Jogging,Outdoors and sports
Jumping rope,Outdoors and sports
Karting,Outdoors and sports
Kayaking,Outdoors and sports
Kite flying,Outdoors and sports
Kitesurfing,Outdoors and sports
Lacrosse,Outdoors and sports
LARPing,Outdoors and sports
Letterboxing,Outdoors and sports
Lomography,Outdoors and sports
Longboarding,Outdoors and sports
Martial arts,Outdoors and sports
Magnet fishing,Outdoors and sports
Metal detecting,Outdoors and sports
Motorcycling,Outdoors and sports
Meteorology,Outdoors and sports
Motor sports,Outdoors and sports
Mountain biking,Outdoors and sports
Mountaineering,Outdoors and sports
Museum visiting,Outdoors and sports
Mushroom hunting/mycology,Outdoors and sports
Netball,Outdoors and sports
Noodling,Outdoors and sports
Nordic skating,Outdoors and sports
Orienteering,Outdoors and sports
Paintball,Outdoors and sports
Paragliding,Outdoors and sports
Parkour,Outdoors and sports
Photography,Outdoors and sports
Pickleball,Outdoors and sports
Picnicking,Outdoors and sports
Podcast hosting,Outdoors and sports
Polo,Outdoors and sports
Powerlifting,Outdoors and sports
Public transport riding,Outdoors and sports
Qigong,Outdoors and sports
Radio-controlled model playing,Outdoors and sports
Rafting,Outdoors and sports
Railway journeys,Outdoors and sports
Railway modelling,Outdoors and sports
Rappelling,Outdoors and sports
Renaissance fair,Outdoors and sports
Renovating,Outdoors and sports
Road biking,Outdoors and sports
Rock climbing,Outdoors and sports
Rock painting,Outdoors and sports
Roller skating,Outdoors and sports
Roundnet,Outdoors and sports
Rugby,Outdoors and sports
Running,Outdoors and sports
Safari,Outdoors and sports
Sailing,Outdoors and sports
Sand art,Outdoors and sports
Scouting,Outdoors and sports
Scuba diving,Outdoors and sports
Sculling or rowing,Outdoors and sports
Shooting,Outdoors and sports
Shopping,Outdoors and sports
Shuffleboard,Outdoors and sports
Skateboarding,Outdoors and sports
Skiing,Outdoors and sports
Skimboarding,Outdoors and sports
Skydiving,Outdoors and sports
Slacklining,Outdoors and sports
Sledding,Outdoors and sports
